,Genero,Idade,AnoMes,Qtd,previsao
102,Homens,0 a 4 anos,2017-07-01,153.0,
103,Homens,0 a 4 anos,2017-08-01,172.0,
104,Homens,0 a 4 anos,2017-09-01,142.0,
105,Homens,0 a 4 anos,2017-10-01,156.0,
106,Homens,0 a 4 anos,2017-11-01,160.0,
107,Homens,0 a 4 anos,2017-12-01,182.0,
108,Homens,0 a 4 anos,2018-01-01,152.0,
109,Homens,0 a 4 anos,2018-02-01,138.0,
110,Homens,0 a 4 anos,2018-03-01,143.0,
111,Homens,0 a 4 anos,2018-04-01,180.0,
112,Homens,0 a 4 anos,2018-05-01,186.0,
113,Homens,0 a 4 anos,2018-06-01,162.0,
114,Homens,0 a 4 anos,2018-07-01,168.0,
115,Homens,0 a 4 anos,2018-08-01,169.0,
116,Homens,0 a 4 anos,2018-09-01,176.0,
117,Homens,0 a 4 anos,2018-10-01,160.0,
118,Homens,0 a 4 anos,2018-11-01,157.0,
119,Homens,0 a 4 anos,2018-12-01,172.0,
120,Homens,0 a 4 anos,2019-01-01,167.0,
121,Homens,0 a 4 anos,2019-02-01,148.0,
122,Homens,0 a 4 anos,2019-03-01,166.0,
123,Homens,0 a 4 anos,2019-04-01,187.0,
124,Homens,0 a 4 anos,2019-05-01,210.0,
125,Homens,0 a 4 anos,2019-06-01,161.0,
126,Homens,0 a 4 anos,2019-07-01,182.0,
127,Homens,0 a 4 anos,2019-08-01,146.0,
128,Homens,0 a 4 anos,2019-09-01,137.0,
129,Homens,0 a 4 anos,2019-10-01,152.0,
130,Homens,0 a 4 anos,2019-11-01,170.0,
131,Homens,0 a 4 anos,2019-12-01,156.0,
132,Homens,0 a 4 anos,2020-01-01,147.0,158.32573452028814
133,Homens,0 a 4 anos,2020-02-01,123.0,143.77758854421904
134,Homens,0 a 4 anos,2020-03-01,168.0,168.53462820120123
135,Homens,0 a 4 anos,2020-04-01,137.0,168.9926060737844
136,Homens,0 a 4 anos,2020-05-01,140.0,179.5959478157027
137,Homens,0 a 4 anos,2020-06-01,110.0,172.54354600936196
138,Homens,0 a 4 anos,2020-07-01,114.0,164.84059950489632
